"","name","team","position","points"
"528","Cade Cavalli","WSN","P",-2.30406790841235
"529","Tyler Wells","BAL","P",-2.33555451403035
"530","Griffin Jax","MIN","P",-2.35102119492784
"531","Yimi Garcia","TOR","P",-2.39648982687037
"532","Kevin Ginkel","ARI","P",-2.41512933171092
"533","Daniel Bard","COL","P",-2.41629614237042
"534","Domingo Acevedo","OAK","P",-2.43144920332562
"535","Noah Syndergaard","LAD","P",-2.49239668848181
"536","Penn Murfee","SEA","P",-2.4976711561889
"537","Dylan Coleman","KCR","P",-2.50792294182792
"538","Zach Plesac","CLE","P",-2.5127112465629
"539","Caleb Ferguson","LAD","P",-2.5993891929064
"540","Steven Okert","MIA","P",-2.66044814594988
"541","Anthony Bass","TOR","P",-2.68243402431583
"542","Drew Smith","NYM",NA,-2.73511144933884
"543","Jake Diekman","CHW","P",-2.75451334434433
"544","Dylan Floro","MIA","P",-2.77717097834698
"545","Hoby Milner","MIL",NA,-2.79745403251446
"546","Dillon Tate","BAL","P",-2.80885386844274
"547","Domingo Germán","NYY","P",-2.81316603377954
"548","James Kaprielian","OAK","P",-2.88716258536775
"549","Peter Strzelecki","MIL","P",-2.88853783827174
"550","Michael Soroka","ATL","P",-2.90322522413388
"551","Matt Manning","DET","P",-2.95091804199791
"552","Jordan Lyles","KCR","P",-3.03187050021001
"553","Matt Barnes","MIA","P",-3.05977072459257
"554","Chris Flexen","SEA","P",-3.06058592343817
"555","Ryne Stanek","HOU","P",-3.07583868428495
"556","Steven Wilson","SDP","P",-3.08800371081105
"557","Rich Hill","PIT","P",-3.09018810130698
"558","Lou Trivino","NYY","P",-3.11726341623919
"559","Robert Stephenson","PIT","P",-3.13204147625947
"560","Andrew Painter","PHI","P",-3.13918232877111
"561","Andre Pallante","STL","P",-3.15534111273782
"562","Zack Greinke","KCR","P",-3.20510283580456
"563","Taylor Clarke","KCR","P",-3.25879892599524
"564","John Brebbia","SFG","P",-3.26425857893237
"565","Sam Moll","OAK",NA,-3.26479351547809
"566","Joely Rodríguez","BOS","P",-3.29909555278691
"567","Luis Ortiz","PIT","P",-3.3224363737232
"568","Madison Bumgarner","ARI","P",-3.34286876855106
"569","Jonathan Hernández","TEX","P",-3.35470066928275
"570","Dany Jiménez","OAK","P",-3.36349864478129
"571","Jason Foley","DET","P",-3.39243279066667
"572","Ryne Nelson","ARI","P",-3.41994005486163
"573","Jimmy Herget","LAA","P",-3.4415348214691
"574","Lucas Sims","CIN","P",-3.51477425408539
"575","Michael Fulmer","","P",-3.5221725972684
"576","Mike Minor","","P",-3.54731549890154
"577","Ryan Tepera","LAA","P",-3.55504014206354
"578","Mychal Givens","BAL","P",-3.59043890874686
"579","Wade Miley","MIL","P",-3.60080507208239
"580","Reiver Sanmartin","CIN","P",-3.62901542744964
"581","Luke Weaver","CIN","P",-3.63386298689546
"582","Kyle Hendricks","CHC","P",-3.66379313175267
"583","Keegan Thompson","CHC","P",-3.68433231096293
"584","Miguel Castro","ARI","P",-3.79919019195166
"585","Aaron Loup","LAA","P",-3.86682005727732
"586","Carl Edwards Jr.","WSN","P",-4.02975732863273
"587","Daniel Lynch","KCR","P",-4.07172266367603
"588","Vince Velasquez","PIT","P",-4.14444980749588
"589","Trevor Williams","WSN","P",-4.19363260743413
"590","José Cisnero","DET","P",-4.3506786427518
"591","Dylan Bundy","","P",-4.40465764938063
"592","Brad Boxberger","CHC","P",-4.49627445287014
"593","Kyle Freeland","COL","P",-4.4992049084254
"594","Wil Crowe","PIT","P",-4.59242512916946
"595","Ryan Yarbrough","KCR","P",-4.81087644187076
"596","Chase De Jong","PIT","P",-5.08387066210777
"597","Zach Davies","ARI","P",-5.45439245873167
"598","Antonio Senzatela","COL","P",-6.42927868215948
