Name,R/IP,HR/SO,RBI/QS,RC/ERA,AVG/WHIP,OPS/SVHD,pr,ovr_pr,adp,playerid,1B,2B,3B,SS,C,LF,CF,RF,P
Jake Odorizzi,1.508738325,1.623718852,1.543751337,0.094774699,0.622182789,-0.675695274,4.717470728,201,244,6397,,,,,,,,,P
Sixto Sanchez,1.218350014,0.903698997,1.249844917,1.072846579,0.947546241,-0.675695274,4.716591474,202,160,19680,,,,,,,,,P
Chris Martin,-0.337949845,-0.237055351,-0.783817444,1.54363491,2.057609784,2.462809511,4.705231566,203,313,11847,,,,,,,,,P
Diego Castillo,-0.194570616,0.001505445,-0.783817444,1.996175631,1.46429996,2.211729129,4.695322104,204,276,17496,,,,,,,,,P
Giovanny Gallegos,-0.298928915,-0.002832024,-0.783817444,1.616625349,2.229861024,1.89787865,4.658786639,205,258,14986,,,,,,,,,P
Jeimer Candelario,1.023112513,0.804189203,0.971116563,1.072091464,0.148839031,0.593403576,4.612752349,206,283,13621,1B,,3B,,,,,,
Bryan Reynolds,1.023112513,0.51441323,0.786924068,1.005657303,0.707408187,0.514679379,4.552194681,207,270,19326,,,,,,LF,CF,,
Jared Walsh,0.709367098,1.156060027,1.006538196,0.681159062,0.102291601,0.880184578,4.535600562,208,231,18607,1B,,,,,,,,
Tyler Mahle,1.532786107,1.697455825,1.597148809,-0.047556657,0.430792523,-0.675695274,4.534931333,209,213,16358,,,,,,,,,P
Julio Urias,1.109454397,1.1552722,0.904041682,0.926865702,0.985824295,-0.550155083,4.531303191,210,125,14765,,,,,,,,,P
Corey Dickerson,0.723959908,0.555809797,0.758586762,0.86831326,1.126335055,0.492186752,4.525191533,211,310,10762,,,,,,LF,,,
Nick Solak,0.957444868,0.410921811,0.801092722,0.903180339,1.005311738,0.390969927,4.468921404,212,173,19294,,2B,,,,LF,CF,,
Ian Anderson,1.311818752,1.5890191,1.465840644,0.67869821,0.086290044,-0.675695274,4.455971475,213,143,19951,,,,,,,,,P
Colin Moran,0.680181478,0.700697784,0.985285216,0.869453965,0.753955617,0.461259389,4.450833449,214,,16909,,,,,,,,,
Mike Soroka,1.311818752,0.76056252,1.443915789,0.875772394,0.717877922,-0.675695274,4.434252103,215,178,18383,,,,,,,,,P
Alex Dickerson,0.563438998,0.410921811,0.609815901,0.641457254,1.098406597,1.105110854,4.429151415,216,274,12649,,,,,,LF,,,
Miguel Cabrera,0.629106643,0.700697784,1.02070685,0.94856109,0.791193561,0.323492044,4.413757971,217,344,1744,,,,,,,,,
Ryan McMahon,0.796923958,0.949077189,1.013622523,0.872260347,0.176767488,0.601838311,4.410489817,218,225,15112,1B,2B,3B,,,,,,
Peter Fairbanks,-0.226331837,0.166329267,-0.783817444,1.63852248,1.177214561,2.400039416,4.371956442,219,,17998,,,,,,,,,P
Devin Williams,-0.205006446,0.387540186,-0.783817444,2.076465114,1.043241374,1.835108554,4.353531338,220,163,15816,,,,,,,,,P
Yusei Kikuchi,1.683878776,1.350458305,1.605852534,0.11667183,0.258541284,-0.675695274,4.339707455,221,,20633,,,,,,,,,P
Freddy Peralta,0.778230229,1.424195278,0.012496683,0.813730521,1.043241374,0.265856161,4.337750247,222,,18679,,,,,,,,,P
Randal Grichuk,0.636403048,1.197456595,0.907357622,0.543347193,0.186076974,0.82114143,4.291782863,223,248,10243,,,,,,,CF,,
Chris Taylor,0.964741273,0.51441323,0.886104642,0.855057853,0.418814123,0.641200409,4.280331531,224,175,13757,,2B,,SS,,LF,,,
Justin Upton,0.950148463,1.425137717,1.247405304,0.785046642,-0.642467275,0.514679379,4.27995023,225,289,5222,,,,,,LF,,,
Drew Pomeranz,-0.291215476,0.122954577,-0.783817444,1.547284432,0.756155975,2.902200181,4.253562246,226,188,11426,,,,,,,,,P
Emilio Pagan,-0.260815449,-0.015844431,-0.783817444,1.226126501,2.153304917,1.89787865,4.216832743,227,,14771,,,,,,,,,P
Jesus Aguilar,0.658292263,0.84558577,0.999453869,0.767871294,0.279171834,0.646823566,4.197198597,228,,11342,,,,,,,,,
Chad Green,-0.205006446,0.253078647,-0.783817444,1.50713969,2.229861024,1.144637501,4.145892973,229,308,15552,,,,,,,,,P
David Price,0.952009484,1.025148129,1.225438315,0.649502034,0.928407215,-0.675695274,4.104809903,230,201,3184,,,,,,,,,P
Raimel Tapia,0.928259248,-0.313518122,0.404370427,0.869535729,1.843165473,0.360042564,4.091855318,231,219,14350,,,,,,LF,,,
David Fletcher,1.293079498,-0.437707825,0.453960713,1.083562688,1.694213698,-0.016708948,4.070399824,232,190,17992,,2B,,SS,,,,,
Ty France,0.672885073,0.576508081,0.786924068,0.74002805,0.744646131,0.542795164,4.063786567,233,,17982,,2B,,,,,,,
Madison Bumgarner,2.009204431,1.411182871,2.032145505,-1.047525669,0.258541284,-0.675695274,3.987853147,234,287,5524,,,,,,,,,P
Travis d'Arnaud,0.381028873,0.576508081,0.921526276,0.51741807,0.893597906,0.6946204,3.984699606,235,140,7739,,,,,C,,,,
Richard Rodriguez,-0.226331837,-0.037531776,-0.783817444,0.956061877,1.272909694,2.77665999,3.957950503,236,220,13549,,,,,,,,,P
Trevor May,-0.297113988,0.179341674,-0.783817444,1.503490169,1.579134119,1.772338459,3.953372988,237,332,6398,,,,,,,,,P
Josh Naylor,0.614513833,0.266033824,0.538972634,0.704435671,1.191501456,0.635577252,3.951034671,238,,18839,,,,,,,,,
Dustin May,0.780952619,0.634775919,0.460998602,1.29911694,1.311187747,-0.550155083,3.936876744,239,223,19716,,,,,,,,,P
Kyle Lewis,1.066890943,1.011172041,1.04195983,0.960938807,-0.167683492,-0.008274213,3.905003916,240,147,19508,,,,,,,CF,,
John Means,1.641681724,1.163947138,1.566513684,-0.543891641,0.698738896,-0.675695274,3.851294526,241,264,16269,,,,,,,,,P
Will Smith,0.461289328,0.907680622,0.843598682,0.470077822,-0.074588632,1.240066619,3.848124441,242,93,19197,,,,,C,,,,
Hunter Renfroe,0.585328213,1.425137717,1.04195983,0.543310122,-0.54006293,0.778967753,3.834640706,243,,15464,,,,,,,,,
Michael Pineda,1.425251686,1.124909916,1.52798031,-0.270177496,0.698738896,-0.675695274,3.831008038,244,245,5372,,,,,,,,,P
Joakim Soria,-0.315263258,-0.180668254,-0.783817444,1.065547535,1.024102348,2.964970277,3.774871205,245,217,6941,,,,,,,,,P
Willson Contreras,0.614513833,0.576508081,0.680659168,0.625195819,0.372266693,0.905488784,3.774632378,246,118,11609,,,,,C,,,,
Bobby Dalbec,0.789627553,1.487232568,0.942779256,0.719990152,-0.810038022,0.62151936,3.751110868,247,295,19966,1B,,,,,,,,
Renato Nunez,0.505067758,1.052568608,0.857767335,0.581668619,0.083672629,0.649635145,3.730380095,248,,14503,,,,,,,,,
Noah Syndergaard,0.515065821,0.522001725,0.8721228,1.087444667,1.40688288,-0.675695274,3.727822618,249,241,11762,,,,,,,,,P
Miles Mikolas,0.997382658,0.435252345,1.182929223,0.580161117,1.196353587,-0.675695274,3.716383656,250,,9803,,,,,,,,,P
Nate Lowe,0.381028873,0.576508081,0.390201773,0.565490994,0.679479729,1.119168746,3.711878197,251,,19566,,,,,,,,,
Willie Calhoun,0.570735403,0.804189203,0.843598682,0.694094285,0.409504637,0.376912035,3.699034245,252,,17838,,,,,,,,,
Elieser Hernandez,1.07905437,1.229009173,1.200839005,-0.069453789,0.928407215,-0.675695274,3.6921607,253,306,16933,,,,,,,,,P
Victor Robles,1.234708258,0.410921811,0.815261375,0.838830547,0.335028749,0.050768935,3.685519676,254,151,18363,,,,,,,CF,,
Aaron Civale,1.588595111,1.046835474,1.693352225,-0.394261242,0.411653497,-0.675695274,3.670479791,255,202,19479,,,,,,,,,P
J.D. Davis,0.497771353,0.535111513,0.496466674,0.61052795,0.726027159,0.801460381,3.66736503,256,236,16219,,,3B,,,,,,
Gavin Lux,0.687477883,0.493714946,0.758586762,0.570273148,0.558456412,0.562476213,3.630985364,257,224,19955,,2B,,,,,,,
Kole Calhoun,0.818813173,1.011172041,0.801092722,0.702502485,-0.372492182,0.666504615,3.627592853,258,250,11200,,,,,,,,RF,
Andrew Benintendi,1.001223298,0.224637257,0.602731574,0.932871395,0.437433095,0.427520447,3.626417066,259,180,17901,,,,,,LF,,,
Dylan Carlson,0.913666438,0.555809797,0.886104642,0.828515837,0.158148516,0.278506789,3.62075202,260,170,20126,,,,,,LF,CF,RF,
Cesar Hernandez,1.066890943,-0.168630136,0.37603312,0.951412308,1.200810942,0.191347857,3.617865035,261,253,10556,,2B,,,,,,,
Griffin Canning,1.266445578,1.24202158,1.408023871,-0.095000442,0.469070576,-0.675695274,3.614865888,262,,19867,,,,,,,,,P
Alexander Kirilloff,0.373732468,0.203938973,0.347695813,0.523015739,1.508023979,0.655258302,3.611665273,263,,sa917929,,,,,,,,,
Brandon Nimmo,0.928259248,0.348826959,0.262683892,0.840223583,0.111601087,1.119168746,3.610763516,264,230,12927,,,,,,LF,CF,RF,
Luis Severino,0.265513366,0.448264752,0.68372006,1.229776023,1.636551199,-0.675695274,3.588130126,265,286,15890,,,,,,,,,P
Drew Smyly,1.023245367,1.428532747,1.260117588,0.043681391,0.50734863,-0.675695274,3.587230448,266,,11760,,,,,,,,,P
Adalberto Mondesi,1.351450738,0.555809797,0.879020316,0.667147747,0.279171834,-0.148853135,3.583747296,267,54,13769,,,,SS,,,,,
Anthony DeSclafani,1.390768074,1.103222571,1.444897494,-0.025659525,0.33509739,-0.675695274,3.572630729,268,,13050,,,,,,,,,P
Brad Keller,2.007843236,0.955748625,1.966332463,-0.153392793,-0.545297833,-0.675695274,3.555538423,269,,15734,,,,,,,,,P
Alex Wood,0.953370679,0.756225051,0.803769105,0.799132434,0.851851108,-0.612925179,3.551423199,270,,13781,,,,,,,,,P
Willi Castro,0.753145528,0.162542405,0.631068881,0.703605076,1.079787625,0.208217328,3.538366844,271,284,17338,,,,SS,,,,,
Chris Archer,1.191126109,1.406845402,1.367209726,0.007186172,0.239402257,-0.675695274,3.536074393,272,327,6345,,,,,,,,,P
Nick Ahmed,0.972037678,0.473016662,1.056128483,0.88156758,0.214005432,-0.078563674,3.518192161,273,,12147,,,,,,,,,
Jose Iglesias,0.607217428,-0.272121555,0.666490514,0.668041111,1.787308557,0.047957356,3.504893412,274,346,10231,,,,SS,,,,,
Jose Quintana,1.554111499,1.224671704,1.612889946,-0.303023193,0.086290044,-0.675695274,3.499244726,275,,11423,,,,,,,,,P
Johnny Cueto,1.702028045,1.207321828,1.782292796,-0.419807895,-0.124239248,-0.675695274,3.471900251,276,,6893,,,,,,,,,P
Jake McGee,-0.366988676,-0.145968502,-0.783817444,1.01810375,1.40688288,2.33726932,3.465481329,277,268,7550,,,,,,,,,P
Brusdar Graterol,-0.365173749,-0.393204235,-0.783817444,1.904937582,1.253770667,1.835108554,3.451621376,278,304,20367,,,,,,,,,P
Nick Madrigal,0.694774288,-0.727483798,0.298105526,0.717765569,2.3551872,0.053580513,3.391929298,279,161,20521,,2B,,,,,,,
Nathan Eovaldi,1.18341267,1.202984359,1.296301568,-0.054855701,0.430792523,-0.675695274,3.382940144,280,267,9132,,,,,,,,,P
Amed Rosario,0.680181478,-0.085837,0.383117446,0.574885771,1.591809352,0.216652063,3.360809111,281,,15518,,,,,,,,,
Aaron Bummer,-0.292576671,-0.215368006,-0.783817444,2.102011767,0.813573055,1.709568363,3.333391065,282,,16258,,,,,,,,,P
Blake Treinen,-0.22451691,-0.180668254,-0.783817444,1.602027261,0.832712082,2.086188937,3.331925672,283,328,12572,,,,,,,,,P
Spencer Turnbull,1.581335403,1.324433491,1.605863983,-0.153392793,-0.353907567,-0.675695274,3.328637242,284,,16207,,,,,,,,,P
Matt Barnes,-0.251740814,0.201029019,-0.783817444,0.831978131,0.048011991,3.278820756,3.324281638,285,216,12863,,,,,,,,,P
Rafael Montero,-0.30800355,-0.11126875,-0.783817444,0.828328609,0.851851108,2.839430086,3.31652006,286,174,12760,,,,,,,,,P
Austin Hays,0.687477883,0.721396068,0.595647247,0.506761445,0.605003842,0.199782593,3.316069078,287,193,19363,,,,,,LF,CF,,
Willy Adames,0.833405983,0.617904649,0.694827821,0.79338041,0.186076974,0.1857247,3.311320538,288,,15986,,,,,,,,,
Jose Urquidy,1.221072404,0.882011652,1.370136637,-0.248280364,0.756155975,-0.675695274,3.305401031,289,205,18413,,,,,,,,,P
Zach Davies,1.79458932,0.93406128,1.813947424,-0.266527974,-0.315629514,-0.675695274,3.284745262,290,255,13183,,,,,,,,,P
Jake Diekman,-0.273066206,0.148979391,-0.783817444,1.893989016,0.33509739,1.960648746,3.281830893,291,,5003,,,,,,,,,P
Hector Neris,-0.241304985,0.079579887,-0.783817444,0.64220299,0.851851108,2.713889894,3.262401451,292,291,11804,,,,,,,,,P
Jose Leclerc,-0.297113988,0.209703957,-0.783817444,1.226126501,0.373375443,2.525579607,3.253854076,293,254,14524,,,,,,,,,P
Kyle Gibson,1.98787904,1.489257313,1.940769754,-0.667975387,-0.832383232,-0.675695274,3.241852213,294,,10123,,,,,,,,,P
Luke Weaver,1.228785844,1.211659297,1.322146258,-0.200836579,0.354236417,-0.675695274,3.240295962,295,,16918,,,,,,,,,P
Nick Senzel,0.862591603,0.410921811,0.560225614,0.644965323,0.409504637,0.317868888,3.206077875,296,297,19293,,,,,,,CF,,
Adam Duvall,0.636403048,1.404439433,1.098634443,0.571189228,-0.828656994,0.306622574,3.188631732,297,,10950,,,,,,,,,
Jameson Taillon,1.125788739,0.786587334,1.288376367,0.014485216,0.641321816,-0.675695274,3.180864198,298,208,11674,,,,,,,,,P
Jordan Montgomery,0.953370679,0.895024059,1.114573191,0.306446971,0.583904736,-0.675695274,3.177624363,299,259,16511,,,,,,,,,P
Jason Heyward,0.731256313,0.286732108,0.616900228,0.763931529,0.381576179,0.379723613,3.16011997,300,336,4940,,,,,,,,RF,
Adam Eaton,1.023112513,0.038352702,0.283936873,0.722970194,0.772574589,0.306622574,3.147569444,301,466,11205,,,,,,,,RF,
Danny Duffy,1.637144407,1.28539627,1.650624406,-0.642428734,-0.124239248,-0.675695274,3.130801826,302,,3542,,,,,,,,,P
Seth Lugo,-0.035764508,0.175004205,-0.348064461,1.076496101,1.904497571,0.328626257,3.100795165,303,,12447,,,,,,,,,P
Yandy Diaz,0.526956973,-0.230724987,0.099744378,0.629385855,1.405619633,0.649635145,3.080616997,304,,16578,,,,,,,,,
Adam Wainwright,1.540499547,1.007798253,1.674145249,-0.226383232,-0.258212434,-0.675695274,3.062152108,305,282,2233,,,,,,,,,P
Taijuan Walker,1.219711209,0.968761032,1.332694452,0.087475655,0.086290044,-0.675695274,3.019237118,306,,11836,,,,,,,,,P
Archie Bradley,-0.177782541,-0.007169493,-0.783817444,0.897669526,0.679599869,2.400039416,3.008539332,307,257,12918,,,,,,,,,P
Andrelton Simmons,0.840702388,-0.35491469,0.517719654,0.707899272,1.396310147,-0.168534184,2.939182586,308,,10847,,,,,,,,,
Kolten Wong,0.826109578,-0.168630136,0.404370427,0.74621512,0.912216878,0.208217328,2.928499195,309,215,12532,,2B,,,,,,,
Brady Singer,1.455651712,0.916711404,1.452808692,-0.138794706,-0.124239248,-0.675695274,2.88644258,310,300,25377,,,,,,,,,P
Merrill Kelly,1.437502443,1.059847881,1.548640831,-0.511045944,0.009733938,-0.675695274,2.868983875,311,,11156,,,,,,,,,P
Tyler Duffey,-0.258093059,-0.093918874,-0.783817444,0.857524785,1.29204872,1.835108554,2.848852683,312,,13758,,,,,,,,,P
Amir Garrett,-0.313902062,0.092592294,-0.783817444,0.824679087,0.373375443,2.651119799,2.844047116,313,285,14375,,,,,,,,,P
Brent Suter,-0.099286951,-0.050544183,-0.539649399,1.109341799,1.713107305,0.705246831,2.838215402,314,,13942,,,,,,,,,P
Justus Sheffield,1.584057794,1.181297014,1.559048677,-0.073103311,-0.755827126,-0.675695274,2.819777773,315,,17285,,,,,,,,,P
Tyler O'Neill,0.738552718,1.197456595,0.921526276,0.511605715,-0.679705219,0.123869974,2.81330606,316,,15711,,,,,,,,,
J.A. Happ,1.283233652,0.938398749,1.416564265,-0.39061172,0.239402257,-0.675695274,2.81129193,317,,7410,,,,,,,,,P
Carlos Martinez,1.210636574,0.860324307,1.351230185,0.167765138,-0.124239248,-0.675695274,2.790021681,318,,11682,,,,,,,,,P
Adam Frazier,0.723959908,-0.106535284,0.340611486,0.680727385,1.005311738,0.143551024,2.787626257,319,316,15223,,2B,,,,LF,,,
Tommy La Stella,0.410214493,-0.230724987,0.156418992,0.465967929,1.424238605,0.556853056,2.782968088,320,243,12371,1B,2B,,,,,,,
Tommy Edman,0.899073628,-0.023742149,0.383117446,0.633920962,0.912216878,-0.03076684,2.773819925,321,146,19470,,,3B,SS,,,,RF,
Lorenzo Cain,0.877184413,-0.251423271,0.120997358,0.685995278,1.210120428,0.09575419,2.738628397,322,222,9077,,,,,,,CF,,
Jordan Hicks,-0.512182832,-0.336817138,-0.783817444,1.963329933,0.679599869,1.709568363,2.719680752,323,218,19618,,,,,,,,,P
Stephen Piscotty,0.621810238,0.659301216,0.864851662,0.592884218,-0.10251709,-0.01389737,2.622432875,324,,13367,,,,,,,,,
Yimi Garcia,-0.327514015,-0.232717882,-0.783817444,0.67869821,1.40688288,1.835108554,2.576640303,325,,12095,,,,,,,,,P
Caleb Smith,1.230147039,1.41552034,1.371491321,-0.719068694,-0.066822168,-0.675695274,2.555572562,326,275,14875,,,,,,,,,P
Alex Colome,-0.265352767,-0.406216642,-0.783817444,0.645852512,0.430792523,2.902200181,2.523458364,327,179,6661,,,,,,,,,P
Brendan Rodgers,0.373732468,0.224637257,0.475213694,0.428142303,0.791193561,0.22227522,2.515194502,328,,17907,,,,,,,,,
Lucas Sims,-0.07024812,0.409227531,-0.509465794,0.200610835,0.44993155,2.023418841,2.503474843,329,,13470,,,,,,,,,P
Rick Porcello,1.156188766,0.743212644,1.344250325,-0.489148812,0.411653497,-0.675695274,2.490461145,330,,2717,,,,,,,,,P
Vince Velasquez,0.977872193,1.263708925,1.084227758,-0.335868891,0.162846151,-0.675695274,2.477090862,331,,11189,,,,,,,,,P
Wilmer Flores,-0.122423072,0.038352702,0.113913032,0.076336853,1.489405007,0.880184578,2.475769099,332,341,5827,1B,2B,,,,,,,
Gary Sanchez,0.381028873,1.300948014,0.879020316,0.276542993,-1.173107974,0.739605655,2.404037877,333,145,11442,,,,,C,,,,
Ji-Man Choi,0.381028873,0.390223527,0.446876387,0.520923717,-0.046660174,0.705866714,2.398259043,334,325,5452,1B,,,,,,,,
Tony Gonsolin,0.457441891,0.591401229,-0.02687384,0.550964942,0.928407215,-0.110764413,2.390577023,335,273,19388,,,,,,,,,P
Triston McKenzie,0.80999145,0.925386342,0.937431934,-0.255579408,0.641321816,-0.675695274,2.38285686,336,186,18000,,,,,,,,,P
Steven Matz,1.178875353,1.081535226,1.314497332,-0.547541163,0.028872965,-0.675695274,2.380544438,337,,13361,,,,,,,,,P
Trevor Rosenthal,-0.387860336,0.062230011,-0.783817444,0.952412355,-0.4496027,2.964970277,2.358332163,338,131,10745,,,,,,,,,P
Austin Adams,-0.521257466,0.005842914,-0.783817444,2.080114635,0.737016949,0.830787023,2.34868661,339,,13801,,,,,,,,,P
Jordan Romano,-0.347024479,-0.102593812,-0.783817444,0.748039126,0.851851108,1.960648746,2.327103246,340,,16122,,,,,,,,,P
Robbie Grossman,0.680181478,-0.003043865,0.319358506,0.675902947,0.28848132,0.365665721,2.326546106,341,,5254,,,,,,,,,
Miguel Rojas,0.548846188,-0.313518122,0.3972861,0.625338525,1.219429914,-0.157287871,2.320094735,342,,7802,,,,,,,,,
Donovan Solano,0.381028873,-0.479104393,0.37603312,0.530168293,1.694213698,-0.185403655,2.316935935,343,,8623,,,,,,,,,
Keone Kela,-0.710009869,-0.419229049,-0.783817444,1.872091885,1.770524385,0.57970664,2.309266548,344,,14696,,,,,,,,,P
Mitch Keller,1.112176787,1.072860288,1.183539716,-0.029309047,-0.392185621,-0.675695274,2.271386849,345,,17594,,,,,,,,,P
Evan White,0.789627553,1.073266892,1.013622523,0.628503405,-0.819347508,-0.415953088,2.269719777,346,,20078,,,,,,,,,
Nate Pearson,0.83857655,0.838636962,0.953272817,0.00353665,0.296819337,-0.675695274,2.255147041,347,278,20160,,,,,,,,,P
Christian Vazquez,0.373732468,0.224637257,0.33352716,0.365860011,0.791193561,0.163232073,2.252182528,348,168,9774,,,,,C,,,,
Jackie Bradley Jr.,0.796923958,0.6799995,0.638153208,0.613998824,-0.54006293,0.053580513,2.242593074,349,262,12984,,,,,,,CF,,
Framber Valdez,0.329035809,0.413565,0.671576244,1.123939887,0.315958364,-0.675695274,2.178380029,350,212,17295,,,,,,,,,P
Ross Stripling,0.900737798,0.721525299,0.274149155,-0.065804267,0.50734863,-0.173534509,2.164422106,351,,13273,,,,,,,,,P
Jurickson Profar,0.483178543,0.224637257,0.468129367,0.402841459,0.251243376,0.315057309,2.14508731,352,318,10815,,2B,,,,LF,,,
J.P. Crawford,1.147151398,-0.023742149,0.560225614,0.840741486,-0.10251709,-0.286620479,2.135238779,353,,15491,,,,,,,,,
Yasiel Puig,0.067283458,0.307430392,0.227262259,0.090436711,0.595694356,0.838010901,2.126118076,354,298,14225,,,,,,,,RF,
A.J. Minter,-0.353376724,-0.11126875,-0.783817444,1.277219808,0.622182789,1.45848798,2.10942766,355,,18655,,,,,,,,,P
Avisail Garcia,0.191322343,0.141844121,0.276852546,0.269800252,0.847050476,0.376912035,2.103781773,356,266,5760,,,,,,,CF,,
Trevor Rogers,0.629859951,0.656463264,0.848496036,0.401334542,0.220263231,-0.675695274,2.080721749,357,,22286,,,,,,,,,P
Dylan Cease,1.336320265,1.237684111,1.451557937,-0.419807895,-0.851522259,-0.675695274,2.078536884,358,,18525,,,,,,,,,P
Will Harris,-0.407824532,-0.367179421,-0.783817444,1.204229369,0.947546241,1.45848798,2.051442194,359,476,3192,,,,,,,,,P
Matt Wisler,-0.132409368,-0.0201819,-0.560267992,0.6604506,0.928407215,1.144637501,2.020636056,360,,12804,,,,,,,,,P
Reyes Moronta,-0.391036458,-0.085243936,-0.783817444,1.127589408,0.124568098,2.023418841,2.01547851,361,,14966,,,,,,,,,P
Tyler Anderson,1.402565099,0.921048873,1.472158012,-0.740965826,-0.373046594,-0.675695274,2.00606429,362,590,12880,,,,,,,,,P
Jake Cronenworth,0.483178543,-0.375612974,0.213093606,0.442046514,1.014621223,0.188536279,1.965863192,363,235,18036,1B,2B,,SS,,,,,
Adrian Houser,0.878051211,0.595738698,0.937434546,0.164115616,0.028872965,-0.675695274,1.928517761,364,,12718,,,,,,,,,P
Anthony Bass,-0.292576671,-0.410554111,-0.783817444,0.488923068,0.33509739,2.588349703,1.925421936,365,319,7982,,,,,,,,,P
Jonathan Brubaker,0.941573654,0.686825547,0.810528693,0.171414659,-0.105100222,-0.612925179,1.892317153,366,,17578,,,,,,,,,P
Tejay Antone,0.824964598,0.795262272,0.476911001,0.149517528,-0.181656328,-0.173534509,1.891464562,367,,16233,,,,,,,,,P
Maikel Franco,0.030801433,0.348826959,0.446876387,0.209833801,0.456052067,0.38534677,1.877737417,368,,12179,,,,,,,,,
Enrique Hernandez,0.424807303,0.369525243,0.446876387,0.305739105,-0.028041202,0.354419407,1.873326243,369,272,10472,,2B,,,,,,RF,
Mike Mayers,-0.233591545,-0.041869245,-0.783817444,0.437829761,0.660460842,1.772338459,1.811350828,370,,15451,,,,,,,,,P
Elvis Andrus,0.862591603,-0.023742149,0.52480398,0.565154521,0.437433095,-0.556532011,1.80970904,371,279,8709,,,,SS,,,,,
Evan Longoria,0.337250443,0.328128675,0.638153208,0.354796548,0.19538646,-0.044824733,1.808890602,372,,9368,,,,,,,,,
Harrison Bader,0.847998793,0.576508081,0.48229802,0.493448413,-0.614538817,0.019841572,1.805556063,373,,18030,,,,,,,,,
Phil Maton,-0.347024479,-0.098256343,-0.783817444,0.901319048,1.043241374,1.081867406,1.797329562,374,,18064,,,,,,,,,P
Scott Barlow,-0.188218371,0.096929763,-0.783817444,0.565563029,0.239402257,1.835108554,1.764967788,375,,14993,,,,,,,,,P
Domingo German,0.581310655,0.712850361,0.620329602,-0.233682276,0.679599869,-0.612925179,1.747483032,376,265,17149,,,,,,,,,P
Tarik Skubal,0.693382394,0.877674183,0.841735171,-0.321270803,0.315958364,-0.675695274,1.731784035,377,,22267,,,,,,,,,P
Dane Dunning,0.905275115,0.721525299,1.039758191,-0.10959853,-0.181656328,-0.675695274,1.699608473,378,,19409,,,,,,,,,P
Yusmeiro Petit,-0.199107933,-0.37151689,-0.783817444,0.485273547,1.598273146,0.956327214,1.68543164,379,495,4020,,,,,,,,,P
Nomar Mazara,0.256989988,0.307430392,0.468129367,0.309352579,0.223314918,0.107000504,1.672217747,380,,14553,,,,,,,,,
Pierce Johnson,-0.38649914,-0.098256343,-0.783817444,1.175033194,0.870990135,0.893557119,1.67100752,381,,13435,,,,,,,,,P
Rougned Odor,0.570735403,1.238853163,0.942779256,0.270510851,-1.294131291,-0.070128939,1.658618443,382,,12282,,,,,,,,,
Logan Webb,0.779591424,0.478627035,0.94956089,0.364839322,-0.239073408,-0.675695274,1.657849989,383,,17995,,,,,,,,,P
Mitch Moreland,0.344546848,0.721396068,0.609815901,0.319589696,-0.605229331,0.247579426,1.637698607,384,,3086,,,,,,,,,
Cristian Pache,0.534253378,0.059050986,0.538972634,0.432469694,0.325719263,-0.255693116,1.634772839,385,302,19948,,,,,,LF,,,
Tanner Scott,-0.229054228,0.053555073,-0.783817444,1.39400451,-0.162517301,1.332947789,1.605118398,386,,17586,,,,,,,,,P
Jarred Kelenic,0.366436063,0.51441323,0.432707733,0.264827428,-0.130445548,0.151985759,1.599924665,387,226,sa3007741,,,,,,,CF,,
Alex Reyes,-0.378785701,-0.054881652,-0.783817444,1.18598176,0.105429071,1.521258076,1.595184109,388,,15015,,,,,,,,,P
Corey Knebel,-0.505830587,-0.150305971,-0.783817444,1.18598176,0.947546241,0.893557119,1.587131118,389,,15010,,,,,,,,,P
Mark Melancon,-0.387860336,-0.553690588,-0.783817444,1.112991321,0.354236417,1.835108554,1.576967924,390,256,4264,,,,,,,,,P
Rio Ruiz,0.483178543,0.473016662,0.680659168,0.460188141,-0.316635267,-0.207896283,1.572510964,391,,14103,,,,,,,,,
A.J. Puk,0.204713313,0.443927283,0.043510922,0.912267614,0.39251447,-0.424614891,1.57231871,392,,19343,,,,,,,,,P
Shogo Akiyama,0.373732468,-0.251423271,-0.027773502,0.32960099,0.893597906,0.247579426,1.565314017,393,,27461,,,,,,,,,
Andrew Chafin,-0.41508424,-0.211030537,-0.783817444,1.112991321,0.526487656,1.332947789,1.562494545,394,,12988,,,,,,,,,P
Mike Fiers,1.473800982,0.504651849,1.575960088,-1.164310371,-0.181656328,-0.675695274,1.532750945,395,,7754,,,,,,,,,P
Khris Davis,0.074579863,0.783490919,0.432707733,0.124047434,-0.577300873,0.6946204,1.532145476,396,347,9112,,,,,,,,,
Alex Cobb,1.388953147,0.574051353,1.502507047,-0.930740967,-0.334768541,-0.675695274,1.524306765,397,,6562,,,,,,,,,P
Kris Bubic,0.986946828,0.747550113,1.122549029,-0.193537535,-0.468741727,-0.675695274,1.519071434,398,,21455,,,,,,,,,P
Adam Ottavino,-0.285316963,0.088254825,-0.783817444,0.653151556,-0.124239248,1.960648746,1.508681471,399,246,1247,,,,,,,,,P
David Peterson,0.63757339,0.383202717,0.883541595,0.423231674,-0.143378275,-0.675695274,1.508475826,400,,20302,,,,,,,,,P
Dellin Betances,-0.50129327,-0.115606219,-0.783817444,1.295467418,0.564765709,1.01909731,1.478613505,401,409,6216,,,,,,,,,P
